X,Y,OBJECTID,Status,Score,Match_addr,ShortLabel,USER_Year,USER_County,USER_District,USER_CDS2,USER_Name,USER_Street,USER_City,USER_State,USER_Zip,USER_Type,USER_Accommodations,USER_Classification,USER_LowGrade,USER_HighGrade,USER_EnrollK,USER_Enroll1,USER_Enroll2,USER_Enroll3,USER_Enroll4,USER_Enroll5,USER_Enroll6,USER_Enroll7,USER_Enroll8,USER_Enroll9,USER_Enroll10,USER_Enroll11,USER_Enroll12,USER_TotalEnroll,USER_PrevYearGrads,USER_FullTimeTeach,USER_PartTimeTeach,USER_Administrators,USER_OtherStaff,USER_TaxExempt,USER_CDS,USER_EnrollK5,USER_Enroll68,USER_Enroll912,COUNTY_NAM,CO_TEST,CO_TEST_Note
-13587407.8238,4529097.6076,46,M,98.48,"790 Calhoun St, Hayward, California, 94544",790 Calhoun St,2024-25,Alameda,Hayward Unified,A01611926965917,Saint Clement Catholic School,790 Calhoun Street,Hayward,CA,94544,Coeducational,Day Only,Catholic,Kindergarten,Eighth Grade ,48,29,21,28,30,25,33,29,25,0,0,0,0,268,26,10,1,1,13,Yes,01611926965917,181,87,0,Alameda,1,
-13589459.2418,4533246.6171,47,M,98.48,"22870 2nd St, Hayward, California, 94541",22870 2nd St,2024-25,Alameda,Hayward Unified,A01611926965909,All Saints Catholic School,22870 Second Street,Hayward,CA,94541,Coeducational,Day Only,Catholic,Kindergarten,Eighth Grade ,26,15,16,20,16,7,11,21,18,0,0,0,0,150,0,8,3,1,8,Yes,01611926965909,100,50,0,Alameda,1,
-13589757.0868,4528449.1197,48,M,98.48,"26910 Patrick Ave, Hayward, California, 94544",26910 Patrick Ave,2024-25,Alameda,Hayward Unified,A01611926972871,St. Bede School,26910 Patrick Avenue,Hayward,CA,94544,Coeducational,Day Only,Catholic,Kindergarten,Eighth Grade ,30,18,22,19,16,26,26,22,17,0,0,0,0,196,19,9,2,1,8,Yes,01611926972871,131,65,0,Alameda,1,
-13587782.815,4529312.7971,49,M,98.48,"27170 Mission Blvd, Hayward, California, 94544",27170 Mission Blvd,2024-25,Alameda,Hayward Unified,A01611926933006,Moreau Catholic High School,27170 Mission Boulevard,Hayward,CA,94544,Coeducational,Day Only,Catholic,Ninth Grade,Twelfth Grade,0,0,0,0,0,0,0,0,0,229,225,188,164,806,204,57,1,4,39,Yes,01611926933006,0,0,806,Alameda,1,
-13595061.5292,4533523.0456,50,M,98.48,"17200 Via Magdalena, San Lorenzo, California, 94580",17200 Via Magdalena,2024-25,Alameda,San Lorenzo Unified,A01611927003304,Lea's Christian,17200  Via Magdalena,San Lorenzo,CA,94580,Coeducational,Day Only,Nondenominational,Kindergarten,Fifth Grade,8,5,3,5,8,3,0,0,0,0,0,0,0,32,0,8,0,0,0,Yes,01611927003304,32,0,0,Alameda,1,
-13592419.8516,4528347.7339,51,M,98.48,"26236 Adrian Ave, Hayward, California, 94545",26236 Adrian Ave,2024-25,Alameda,Hayward Unified,A01611927103286,Montessori Children's House of Hayward,26236 Adrian Ave,Hayward,CA,94545,Coeducational,Day Only,Non-Religious,Kindergarten,Kindergarten,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,1,0,Yes,01611927103286,6,0,0,Alameda,1,
-13589920.2433,4529159.3188,52,M,98.48,"26400 Gading Rd, Hayward, California, 94544",26400 Gading Rd,2024-25,Alameda,Hayward Unified,A01611926975999,Bayside Seventh-day Adventist Christian,26400 Gading Rd.,Hayward,CA,94544,Coeducational,Day Only,Seventh-day Adventist,Kindergarten,Eighth Grade ,1,2,1,5,0,1,0,0,0,0,0,0,0,10,0,2,0,0,0,Yes,01611926975999,10,0,0,Alameda,1,
-13593874.2359,4531965.6206,53,M,98.48,"21250 Hesperian Blvd, Hayward, California, 94541",21250 Hesperian Blvd,2024-25,Alameda,Hayward Unified,A01611926972970,St. Joachim's Elementary,21250 Hesperian Boulevard,Hayward,CA,94541,Coeducational,Day Only,Catholic,Kindergarten,Eighth Grade ,31,35,34,34,34,34,35,33,36,0,0,0,0,306,0,10,0,1,15,Yes,01611926972970,202,104,0,Alameda,1,
-13558060.2318,4534640.0692,54,M,98.48,"557 Olivina Ave, Livermore, California, 94551",557 Olivina Ave,2024-25,Alameda,Livermore Valley Joint Unified,A01612006136097,Livermore Valley Academy,557 Olivina Ave. Bldg B.,Livermore,CA,94551,Coeducational,Day Only,Non-Religious,Kindergarten,Eighth Grade ,10,3,5,6,9,5,17,8,11,0,0,0,0,74,0,13,3,4,3,No,01612006136097,38,36,0,Alameda,1,
-13552761.5371,4539946.4056,55,M,98.48,"2156 Bluebell Dr, Livermore, California, 94551",2156 Bluebell Dr,2024-25,Alameda,Livermore Valley Joint Unified,A01612006159214,Verity Academy East Bay,2156 Bluebell Dr.,Livermore,CA,94551,Coeducational,Day Only,Nondenominational,First Grade,Twelfth Grade,0,7,3,3,2,8,5,1,2,3,7,3,0,44,3,26,0,6,0,Yes,01612006159214,23,8,13,Alameda,1,
