"school","address","public_vs_private","school_type","greatschools_rating","greatschools_rating_as_of","greatschools_profile_url","private_staffing_proxy_rating","private_staffing_proxy_basis","rating_notes","cds_code","latitude","longitude","geocode_matched_address","geocode_match_method","geocode_source","geocode_data_as_of"
"Garfield Elementary","420 Filbert St., San Francisco, CA 94133","Public","Elementary School","9","2026-09-22","https://www.greatschools.org/california/san-francisco/6370-Garfield-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786041040","37.8018891","-122.4066337","420 FILBERT ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Gateway High","1430 Scott St., San Francisco, CA 94115","Public","High School","8","2026-09-22","https://www.greatschools.org/california/san-francisco/6371-Gateway-High-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684783830437","37.7832202","-122.4370246","1430 SCOTT ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Gateway Middle","1512 Golden Gate Ave., San Francisco, CA 94115","Public","Middle School","6","2026-09-22","https://www.greatschools.org/california/san-francisco/25633-Gateway-Middle-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684780123265","37.7792843","-122.435966","1512 GOLDEN GATE AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Giannini (A.P.) Middle","3151 Ortega St., San Francisco, CA 94122","Public","Middle School","8","2026-09-22","https://www.greatschools.org/california/san-francisco/6372-Giannini-A.P.-Middle-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786059828","37.7508317","-122.496874","3151 ORTEGA ST","Exact DataSF address; source ZIP differs","DataSF Enterprise Addressing System","2026-09-21"
"Glen Park Elementary","151 Lippard Ave., San Francisco, CA 94131","Public","Elementary School","6","2026-09-22","https://www.greatschools.org/california/san-francisco/6373-Glen-Park-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786041073","37.7331842","-122.4359294","151 LIPPARD AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Grattan Elementary","165 Grattan St., San Francisco, CA 94117","Public","Elementary School","9","2026-09-22","https://www.greatschools.org/california/san-francisco/6375-Grattan-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786041115","37.7637748","-122.4504685","165 GRATTAN ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Guadalupe Elementary","859 Prague St., San Francisco, CA 94112","Public","Elementary School","5","2026-09-22","https://www.greatschools.org/california/san-francisco/6376-Guadalupe-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786041123","37.7102115","-122.4347009","859 PRAGUE ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Harte (Bret) Elementary","1035 Gilman Ave., San Francisco, CA 94124","Public","Elementary School","2","2026-09-22","https://www.greatschools.org/california/san-francisco/6377-Harte-Bret-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786040760","37.7179558","-122.388948","1035 GILMAN AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Hillcrest Elementary","810 Silver Ave., San Francisco, CA 94134","Public","Elementary School","3","2026-09-22","https://www.greatschools.org/california/san-francisco/6379-Hillcrest-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786041156","37.7288136","-122.419129","810 SILVER AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Hoover (Herbert) Middle","2290 14th Ave., San Francisco, CA 94116","Public","Middle School","7","2026-09-22","https://www.greatschools.org/california/san-francisco/6378-Hoover-Herbert-Middle-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786059851","37.7453972","-122.4698818","2290 14TH AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
