"school","address","public_vs_private","school_type","greatschools_rating","greatschools_rating_as_of","greatschools_profile_url","private_staffing_proxy_rating","private_staffing_proxy_basis","rating_notes","cds_code","latitude","longitude","geocode_matched_address","geocode_match_method","geocode_source","geocode_data_as_of"
"O'Connell (John) High","2355 Folsom St., San Francisco, CA 94110","Public","High School","4","2026-09-22","https://www.greatschools.org/california/san-francisco/6417-Oconnell-John-High-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684783834769","37.7595591","-122.4145403","2355 FOLSOM ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Ortega (Jose) Elementary","400 Sargent St., San Francisco, CA 94132","Public","Elementary School","7","2026-09-22","https://www.greatschools.org/california/san-francisco/6418-Ortega-Jose-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786041271","37.7163638","-122.4665194","400 SARGENT ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Parker (Jean) Elementary","840 Broadway St., San Francisco, CA 94133","Public","Elementary School","6","2026-09-22","https://www.greatschools.org/california/san-francisco/6419-Parker-Jean-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786041206","37.7976204","-122.4110381","840 BROADWAY","DataSF normalized street match","DataSF Enterprise Addressing System","2026-09-21"
"Parks (Rosa) Elementary","1501 O'Farrell St., San Francisco, CA 94115","Public","Elementary School","6","2026-09-22","https://www.greatschools.org/california/san-francisco/6420-Parks-Rosa-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786041503","37.7830089","-122.4295043","1501 OFARRELL ST","DataSF normalized street match","DataSF Enterprise Addressing System","2026-09-21"
"Peabody (George) Elementary","251 Sixth Ave., San Francisco, CA 94118","Public","Elementary School","10","2026-09-22","https://www.greatschools.org/california/san-francisco/6421-Peabody-George-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786041065","37.783934","-122.4647938","251 06TH AVE","DataSF normalized street match","DataSF Enterprise Addressing System","2026-09-21"
"Presidio Middle","450 30th Ave., San Francisco, CA 94121","Public","Middle School","9","2026-09-22","https://www.greatschools.org/california/san-francisco/6423-Presidio-Middle-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786062079","37.7808645","-122.4896271","450 30TH AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Redding Elementary","1421 Pine St., San Francisco, CA 94109","Public","Elementary School","2","2026-09-22","https://www.greatschools.org/california/san-francisco/6424-Redding-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786041511","37.7896419","-122.4194872","1421 PINE ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Revere (Paul) Elementary","555 Tompkins Ave., San Francisco, CA 94110","Public","Elementary School","2","2026-09-22","https://www.greatschools.org/california/san-francisco/6425-Revere-Paul-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786041487","37.7372052","-122.4129999","555 TOMPKINS AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Rooftop Elementary","443 Burnett Ave., San Francisco, CA 94131","Public","Elementary School","8","2026-09-22","https://www.greatschools.org/california/san-francisco/6426-Rooftop-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786089775","37.7548862","-122.4435991","443 BURNETT AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Roosevelt Middle","460 Arguello Blvd., San Francisco, CA 94118","Public","Middle School","8","2026-09-22","https://www.greatschools.org/california/san-francisco/6427-Roosevelt-Middle-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786059901","37.7819889","-122.4586579","460 ARGUELLO BLVD","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"S.F. County Civic Center Secondary","727 Golden Gate Ave., San Francisco, CA 94102","Public","K-12/Combined School","1","2026-09-22","https://www.greatschools.org/california/san-francisco/13785-S.F.-County-Civic-Center-Secondary/","","","Current GreatSchools rating retrieved 2026-09-22","38103893830445","37.7802963","-122.4229422","727 GOLDEN GATE AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"S.F. County Court Woodside Learning Ctr","375 Woodside Ave. W1, San Francisco, CA 94127","Public","High School","","2026-09-22","","","","No numeric GreatSchools rating found in the San Francisco directory as of 2026-09-22","38103893830361","37.7458845","-122.4525091","375 WOODSIDE AVE","Exact DataSF address; source ZIP differs","DataSF Enterprise Addressing System","2026-09-21"
"S.F. County Opportunity (Hilltop)","1325 Florida St., San Francisco, CA 94110","Public","High School","3","2026-09-22","https://www.greatschools.org/california/san-francisco/11135-S.F.-County-Opportunity-Hilltop-School/","","","Current GreatSchools rating retrieved 2026-09-22","38103893830395","37.7504848","-122.4096929","1325 FLORIDA ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"S.F. County Special Education","3045 Santiago St., San Francisco, CA 94116","Public","K-12/Combined School","","2026-09-22","","","","No numeric GreatSchools rating found in the San Francisco directory as of 2026-09-22","38103896069561","37.7436481","-122.5000475","3045 SANTIAGO ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"S.F. International High","655 DeHaro St., San Francisco, CA 94107","Public","High School","2","2026-09-22","https://www.greatschools.org/california/san-francisco/25018-S.F.-International-High-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684780119875","37.7617031","-122.4008297","655 DE HARO ST","DataSF normalized street match","DataSF Enterprise Addressing System","2026-09-21"
"San Francisco Community Alternative","125 Excelsior Ave., San Francisco, CA 94112","Public","Elementary School","5","2026-09-22","https://www.greatschools.org/california/san-francisco/6430-San-Francisco-Community-Alternative-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786093488","37.7258592","-122.4321481","125 EXCELSIOR AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"San Francisco Public Montessori","2340 Jackson St., San Francisco, CA 94115","Public","Elementary School","7","2026-09-22","https://www.greatschools.org/california/san-francisco/25336-San-Francisco-Public-Montessori-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684780123117","37.7928667","-122.4335992","2340 JACKSON ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Sanchez Elementary","325 Sanchez St., San Francisco, CA 94114","Public","Elementary School","2","2026-09-22","https://www.greatschools.org/california/san-francisco/6428-Sanchez-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786041545","37.7638465","-122.430641","325 SANCHEZ ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Serra (Junipero) Elementary","625 Holly Park Cir., San Francisco, CA 94110","Public","Elementary School","2","2026-09-22","https://www.greatschools.org/california/san-francisco/6429-Serra-Junipero-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786041289","37.7370168","-122.4213263","625 HOLLY PARK CIR","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Sheridan Elementary","431 Capitol Ave., San Francisco, CA 94112","Public","Elementary School","3","2026-09-22","https://www.greatschools.org/california/san-francisco/6431-Sheridan-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786041560","37.7143141","-122.4593652","431 CAPITOL AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Sherman Elementary","1651 Union St., San Francisco, CA 94123","Public","Elementary School","6","2026-09-22","https://www.greatschools.org/california/san-francisco/6432-Sherman-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786041578","37.7978015","-122.4261179","1651 UNION ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Sloat (Commodore) Elementary","50 Darien Way, San Francisco, CA 94127","Public","Elementary School","6","2026-09-22","https://www.greatschools.org/california/san-francisco/6433-Sloat-Commodore-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786040851","37.7317346","-122.4709316","50 DARIEN WAY","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Spring Valley Elementary","1451 Jackson St., San Francisco, CA 94109","Public","Elementary School","4","2026-09-22","https://www.greatschools.org/california/san-francisco/6434-Spring-Valley-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786041594","37.7940062","-122.4188185","1451 JACKSON ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Stevenson (Robert Louis) Elementary","2051 34th Ave., San Francisco, CA 94116","Public","Elementary School","10","2026-09-22","https://www.greatschools.org/california/san-francisco/6436-Stevenson-Robert-Louis-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786041529","37.7487474","-122.4925353","2051 34TH AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Sunnyside Elementary","250 Foerster St., San Francisco, CA 94112","Public","Elementary School","8","2026-09-22","https://www.greatschools.org/california/san-francisco/6437-Sunnyside-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786041610","37.7304438","-122.4487343","250 FOERSTER ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Sunset Elementary","1920 41st Ave., San Francisco, CA 94116","Public","Elementary School","8","2026-09-22","https://www.greatschools.org/california/san-francisco/6438-Sunset-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786113997","37.7508464","-122.4997419","1920 41ST AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Sutro Elementary","235 12th Ave., San Francisco, CA 94118","Public","Elementary School","7","2026-09-22","https://www.greatschools.org/california/san-francisco/6439-Sutro-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786041644","37.7837157","-122.4711485","235 12TH AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Taylor (Edward R.) Elementary","423 Burrows St., San Francisco, CA 94134","Public","Elementary School","6","2026-09-22","https://www.greatschools.org/california/san-francisco/6441-Taylor-Edward-R.-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786040943","37.7278264","-122.4073334","423 BURROWS ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Tenderloin Community","627 Turk St., San Francisco, CA 94102","Public","Elementary School","3","2026-09-22","https://www.greatschools.org/california/san-francisco/6442-Tenderloin-Community/","","","Current GreatSchools rating retrieved 2026-09-22","38684786115901","37.781813","-122.4197444","627 TURK ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"The New School of San Francisco","940 Filbert St, San Francisco, CA 94133","Public","Elementary School","10","2026-09-22","https://www.greatschools.org/california/san-francisco/31959-The-New-School-Of-San-Francisco/","","","Current GreatSchools rating retrieved 2026-09-22","38769270132183","37.8009488","-122.4149706","940 FILBERT ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Thomas Edison Charter Academy","3531 22nd St., San Francisco, CA 94114","Public","Elementary School","6","2026-09-22","https://www.greatschools.org/california/san-francisco/12048-Edison-Charter-Academy/","","","Current GreatSchools rating retrieved 2026-09-22","38684786040935","37.7548605","-122.4260879","3531 22ND ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Ulloa Elementary","2650 42nd Ave., San Francisco, CA 94116","Public","Elementary School","8","2026-09-22","https://www.greatschools.org/california/san-francisco/6445-Ulloa-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786041685","37.737378","-122.4996874","2650 42ND AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Visitacion Valley Elementary","55 Schwerin St., San Francisco, CA 94134","Public","Elementary School","3","2026-09-22","https://www.greatschools.org/california/san-francisco/6446-Visitacion-Valley-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786041701","37.712681","-122.410282","55 SCHWERIN ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Visitacion Valley Middle","1971 Visitacion Ave., San Francisco, CA 94134","Public","Middle School","3","2026-09-22","https://www.greatschools.org/california/san-francisco/6447-Visitacion-Valley-Middle-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786059919","37.7157777","-122.4126037","1971 VISITACION AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Wallenberg (Raoul) Traditional High","40 Vega St., San Francisco, CA 94115","Public","High School","7","2026-09-22","https://www.greatschools.org/california/san-francisco/6449-Wallenberg-Raoul-Traditional-High-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684783830205","37.7801901","-122.4462406","40 VEGA ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Washington (George) High","600 32nd Ave., San Francisco, CA 94121","Public","High School","8","2026-09-22","https://www.greatschools.org/california/san-francisco/6450-Washington-George-High-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684783839081","37.7778391","-122.4917406","600 32ND AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Webster (Daniel) Elementary","465 Missouri St., San Francisco, CA 94107","Public","Elementary School","8","2026-09-22","https://www.greatschools.org/california/san-francisco/6451-Daniel-Webster-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786040893","37.7605213","-122.3958437","465 MISSOURI ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Wells (Ida B.) High","1099 Hayes St., San Francisco, CA 94117","Public","High School","2","2026-09-22","https://www.greatschools.org/california/san-francisco/6452-Wells-Ida-B.-High-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684783830031","37.7751874","-122.4340641","1099 HAYES ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"West Portal Elementary","5 Lenox Way, San Francisco, CA 94127","Public","Elementary School","8","2026-09-22","https://www.greatschools.org/california/san-francisco/6448-West-Portal-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786041727","37.7433756","-122.4646357","5 LENOX WAY","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Yick Wo Elementary","2245 Jones St., San Francisco, CA 94133","Public","Elementary School","8","2026-09-22","https://www.greatschools.org/california/san-francisco/6454-Yick-Wo-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786041131","37.8019001","-122.4163595","2245 JONES ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Yu (Alice Fong) Elementary","1541 12th Ave., San Francisco, CA 94122","Public","Elementary School","10","2026-09-22","https://www.greatschools.org/california/san-francisco/6455-Yu-Alice-Fong-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786113245","37.7589645","-122.4696827","1541 12TH AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Académique International Secondaire des Examens et Certifications","166 Geary Str Ste 1500, San Francisco, CA 94108","Private","Middle/High School","","","","9.5","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","2.0 reported students per estimated teacher FTE","38684786169445","37.787767","-122.4061204","166 GEARY ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Adaptedmind","5th Fiesta Ln, Carson, CA 90745","Private","Middle School","","","","9.8","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","1.3 reported students per estimated teacher FTE","38103896174841","33.8099835","-118.2632564","5 FIESTA LN, CARSON, CA, 90745","US Census address match","US Census Geocoder Public_AR_Current","2026-09-22"
"Adda Clevenger School","180 Fair Oaks Street, San Francisco, CA 94110","Private","Elementary/Middle School","","","","8.6","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","4.1 reported students per estimated teacher FTE","38684786930572","37.7539104","-122.424314","180 FAIR OAKS ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Aloha Micro Academy","166 Geary Str Ste 1500 #1532, San Francisco, CA 94108","Private","K-12/Combined School","","","","1.6","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","19.2 reported students per estimated teacher FTE","38684786168959","37.787767","-122.4061204","166 GEARY ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Alpha School San Francisco","3741 Buchanan St, San Francisco, CA 94123-1710","Private","Elementary/Middle School","","","","9.5","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","2.0 reported students per estimated teacher FTE","38684786172357","37.804563","-122.4339084","3741 BUCHANAN ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Alta Vista School","450 Somerset Street, San Francisco, CA 94134","Private","Elementary/Middle School","","","","8.2","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","5.0 reported students per estimated teacher FTE","38684786140099","37.7256888","-122.4076668","450 SOMERSET ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Arise Educational Center","1760 Cesar Chavez Street, Ste. Rs, San Francisco, CA 94124","Private","Middle/High School","","","","8.1","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","5.2 reported students per estimated teacher FTE","38684787019417","37.7501193","-122.3949031","1760 CESAR CHAVEZ ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Bais Menacham Yeshiva Day School","834 28Th Avenue, San Francisco, CA 94121","Private","Elementary/Middle School","","","","7.7","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","5.9 reported students per estimated teacher FTE","38684786206007","37.7736128","-122.4871555","834 28TH AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Bertrand D Hsu American & Chinese Bicultural Academy","455 Arkansas Street, San Francisco, CA 94107","Private","Elementary/Middle School","","","","8.3","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","4.8 reported students per estimated teacher FTE","38684786170153","37.7606259","-122.3980029","455 ARKANSAS ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Brightworks School","682 Schofield Rd, San Francisco, CA 94129-1198","Private","K-12/Combined School","","","","8.3","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","4.8 reported students per estimated teacher FTE","38684786142079","37.8002943","-122.4687445","682 SCHOFIELD RD","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Cathedral School for Boys","1275 Sacramento St., San Francisco, CA 94108","Private","Elementary/Middle School","","","","7.2","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","6.3 reported students per estimated teacher FTE","38684786965586","37.7923671","-122.413456","1275 SACRAMENTO ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Children's Day School","333 Dolores Street, San Francisco, CA 94110","Private","Elementary/Middle School","","","","7.8","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","5.8 reported students per estimated teacher FTE","38684787096514","37.7642545","-122.4252","333 DOLORES ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Chinese American International School- 19th Ave Campus","3250 19Th Ave, San Francisco, CA 94132","Private","Elementary/Middle School","","","","5.3","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","9.0 reported students per estimated teacher FTE","38684786168041","37.7295001","-122.473589","3250 19TH AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Convent & Stuart Hall, Schools of the Sacred Heart - San Francisco","2222 Broadway St, San Francisco, CA 94115","Private","K-12/Combined School","","","","5.3","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","9.0 reported students per estimated teacher FTE","38684786158596","37.7944809","-122.4336943","2222 BROADWAY ST, SAN FRANCISCO, CA, 94115","US Census address match","US Census Geocoder Public_AR_Current","2026-09-22"
"Cornerstone Academy-Silver Campus","801 Silver Avenue, San Francisco, CA 94134","Private","Elementary School","","","","3.4","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","13.2 reported students per estimated teacher FTE","38684786903165","37.7294421","-122.4183521","801 SILVER AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Cornerstone Academy–Cambridge Campus","501 Cambridge Street, San Francisco, CA 94134","Private","Elementary/Middle School","","","","2.6","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","15.2 reported students per estimated teacher FTE","38684786133763","37.7250378","-122.4173615","501 CAMBRIDGE ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"De Marillac Academy","175 Golden Gate Avenue, San Francisco, CA 94102","Private","Elementary/Middle School","","","","5.7","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","8.5 reported students per estimated teacher FTE","38684787104466","37.7816586","-122.4133444","175 GOLDEN GATE AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Donum Dei Classical Academy","1550 Treat Avenue, San Francisco, CA 94110","Private","Elementary/Middle School","","","","8.3","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","4.7 reported students per estimated teacher FTE","38684786158372","37.7459309","-122.4126946","1550 TREAT AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Drew School","2901 California Street, San Francisco, CA 94115","Private","High School","","","","5.4","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","8.9 reported students per estimated teacher FTE","38684786939557","37.7876423","-122.4423196","2901 CALIFORNIA ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Eclipse Academy","862 Shotwell Street, San Francisco, CA 94110","Private","K-12/Combined School","","","","9.2","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","3.0 reported students per estimated teacher FTE","38684786170120","37.7546108","-122.4156932","862 SHOTWELL ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Ecole Notre Dame Des Victoires","659 Pine Street, San Francisco, CA 94108","Private","Elementary/Middle School","","","","3.7","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","12.3 reported students per estimated teacher FTE","38684786981500","37.7911166","-122.4064668","659 PINE ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Edgewood Community School","1801 Vicente Street, San Francisco, CA 94116","Private","High School","","","","7","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","6.5 reported students per estimated teacher FTE","38684786908917","37.7379847","-122.4862565","1801 VICENTE ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Eureka Learning Center","464 Diamond Street, San Francisco, CA 94114","Private","Elementary School","","","","7.1","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","6.4 reported students per estimated teacher FTE","38684787044605","37.7549662","-122.4370079","464 DIAMOND ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Fusion Academy San Francisco","1160 Battery Street Suite 40, San Francisco, CA 94111","Private","Middle/High School","","","","9.7","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","1.7 reported students per estimated teacher FTE","38684786143440","37.8019163","-122.4011196","1160 BATTERY ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"German International School of Silicon Valley","117 Diamond Street, San Francisco, CA 94114","Private","Elementary/Middle School","","","","7.1","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","6.4 reported students per estimated teacher FTE","38684786162549","37.7601243","-122.4367987","117 DIAMOND ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Hiba Academy Bay Area","99 Rhode Island St, San Francisco, CA 94103","Private","Elementary School","","","","8.2","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","5.0 reported students per estimated teacher FTE","38684786174080","37.7689532","-122.4028075","99 RHODE ISLAND ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Hillwood Academic Day","2521 Scott Street, San Francisco, CA 94115","Private","Elementary/Middle School","","","","8.6","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","4.2 reported students per estimated teacher FTE","38684786939607","37.7933225","-122.4401193","2521 SCOTT ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Holy Name Elementary","1560 40Th Avenue, San Francisco, CA 94122","Private","Elementary/Middle School","","","","1.5","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","20.2 reported students per estimated teacher FTE","38684786981278","37.7576104","-122.4988763","1560 40TH AVE","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"ICA Cristo Rey Academy","3625 24Th Street, San Francisco, CA 94110","Private","High School","","","","3","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","14.2 reported students per estimated teacher FTE","38684786939615","37.7518278","-122.4234338","3625 24TH ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Idlewild Elementary School","236 Santos St, San Francisco, CA 94134","Private","K-12/Combined School","","","","5.5","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","8.7 reported students per estimated teacher FTE","38103896175269","37.7094722","-122.4198563","236 SANTOS ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Inner Fire Academy","2130B Harrison St, San Francisco, CA 94110","Private","Elementary School","","","","9.4","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","2.3 reported students per estimated teacher FTE","38684786174197","37.762815","-122.4132115","2130 HARRISON ST","DataSF base address","DataSF Enterprise Addressing System","2026-09-21"
"Jewish Community High School of the Bay","1835 Ellis Street, San Francisco, CA 94115","Private","High School","","","","7.8","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","5.6 reported students per estimated teacher FTE","38684786200554","37.7816509","-122.436673","1835 ELLIS ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Kahlon Family Services School","3140 Balboa St., San Francisco, CA 94121","Private","Elementary School","","","","8.9","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","3.7 reported students per estimated teacher FTE","38684786146344","37.7760468","-122.4927774","3140 BALBOA ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Katherine Delmar Burke School","7070 California Street, San Francisco, CA 94121","Private","Elementary/Middle School","","","","7.1","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","6.3 reported students per estimated teacher FTE","38684786981328","37.7842816","-122.4933246","7070 CALIFORNIA ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Katherine Michiels School","1335 Guerrero St., San Francisco, CA 94110","Private","Elementary School","","","","9.3","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","2.8 reported students per estimated teacher FTE","38684786130090","37.7498177","-122.4223102","1335 GUERRERO ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Kittredge School","2355 Lake St, San Francisco, CA 94121","Private","Elementary/Middle School","","","","8.1","2025-26 CDE staffing proxy: inverse California percentile of students per estimated teacher FTE, scaled 1-10; not an official school quality rating","5.3 reported students per estimated teacher FTE","38684786981336","37.7855071","-122.4849573","2355 LAKE ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
